x: -14.7067, y: 1.8595, theta: 66.12
Source: -11.8236, 8.5972, Error: 4.0006, Degree: 2
Source: -11.7435, 8.5972, Error: 4.0008, Degree: 2
Source: -11.7435, 8.6373, Error: 4.0006, Degree: 2
Source: -11.8236, 8.8377, Error: 4.0023, Degree: 2
Source: -11.7435, 8.8778, Error: 4.0013, Degree: 2
Source: -11.8236, 8.9178, Error: 4.0035, Degree: 2
Source: -11.9038, 8.9579, Error: 4.0070, Degree: 2
Source: -11.9840, 8.9980, Error: 4.0119, Degree: 2
Source: -11.9038, 9.0381, Error: 4.0091, Degree: 2
Source: -11.9840, 9.0782, Error: 4.0146, Degree: 2
Source: -11.9840, 9.0381, Error: 4.0132, Degree: 2
Source: -11.9038, 8.9980, Error: 4.0080, Degree: 2
Source: -11.8236, 9.0381, Error: 4.0057, Degree: 2
Source: -11.7435, 9.0782, Error: 4.0039, Degree: 2
Source: -11.8236, 9.1182, Error: 4.0076, Degree: 2
Source: -12.0641, 8.9579, Error: 4.0152, Degree: 2
Source: -12.0641, 8.9980, Error: 4.0166, Degree: 2
Source: -12.1443, 8.9980, Error: 4.0222, Degree: 2
Source: -12.2244, 8.9579, Error: 4.0266, Degree: 2
Source: -12.1443, 8.9178, Error: 4.0188, Degree: 2
Source: -12.2244, 8.9178, Error: 4.0248, Degree: 2
Source: -12.3046, 8.9579, Error: 4.0336, Degree: 2
Source: -12.2244, 8.9980, Error: 4.0286, Degree: 2
Source: -12.1443, 8.9579, Error: 4.0205, Degree: 2
Source: -12.3046, 9.0381, Error: 4.0381, Degree: 2
Source: -12.0641, 9.0381, Error: 4.0182, Degree: 2
Source: -12.1443, 9.0381, Error: 4.0240, Degree: 2
Source: -12.1443, 9.0782, Error: 4.0259, Degree: 2
Source: -12.0641, 9.0782, Error: 4.0198, Degree: 2
Source: -11.9840, 8.9178, Error: 4.0095, Degree: 2
Source: -11.9038, 8.9178, Error: 4.0060, Degree: 2
Source: -11.9038, 8.8778, Error: 4.0052, Degree: 2
Source: -11.7435, 8.9178, Error: 4.0017, Degree: 2
Source: -11.8236, 8.8778, Error: 4.0028, Degree: 2
Source: -11.6633, 8.8377, Error: 4.0006, Degree: 2
Source: -11.6633, 8.8778, Error: 4.0006, Degree: 2
Source: -11.5832, 8.9178, Error: 4.0007, Degree: 2
Source: -11.5030, 8.9178, Error: 4.0014, Degree: 2
Source: -11.5832, 8.8778, Error: 4.0008, Degree: 2
Source: -11.8236, 8.6373, Error: 4.0007, Degree: 2
Source: -10.3808, 9.7595, Error: 4.0317, Degree: 4
Source: -10.3006, 9.7996, Error: 4.0366, Degree: 4
Source: -10.3006, 9.7595, Error: 4.0391, Degree: 4
Source: -10.3006, 9.7194, Error: 4.0416, Degree: 4
Source: -10.2204, 9.7595, Error: 4.0471, Degree: 4
Source: -10.1403, 9.7194, Error: 4.0590, Degree: 4
Source: -10.2204, 9.7996, Error: 4.0444, Degree: 4
Source: -10.1403, 9.7996, Error: 4.0529, Degree: 4
Source: -10.1403, 9.7595, Error: 4.0559, Degree: 4
Source: -10.0601, 9.7595, Error: 4.0655, Degree: 4
Source: -10.2204, 9.6794, Error: 4.0529, Degree: 4
Source: -10.3006, 9.6794, Error: 4.0443, Degree: 4
Source: -10.3006, 9.8397, Error: 4.0341, Degree: 4
Source: -10.3808, 9.8798, Error: 4.0253, Degree: 4
Source: -10.3808, 9.9198, Error: 4.0233, Degree: 4
Source: -10.4609, 9.8798, Error: 4.0195, Degree: 4
Source: -10.4609, 9.8397, Error: 4.0213, Degree: 4
Source: -10.5411, 9.7996, Error: 4.0177, Degree: 4
Source: -10.5411, 9.8397, Error: 4.0160, Degree: 4
Source: -10.6212, 9.8798, Error: 4.0102, Degree: 4
Source: -10.5411, 9.9198, Error: 4.0130, Degree: 4
Source: -10.5411, 9.9599, Error: 4.0116, Degree: 4
Source: -10.6212, 9.9198, Error: 4.0090, Degree: 4
Source: -10.7014, 9.9599, Error: 4.0049, Degree: 4
Source: -10.7014, 9.9198, Error: 4.0058, Degree: 4
Source: -10.7816, 9.8798, Error: 4.0041, Degree: 4
Source: -10.8617, 9.8397, Error: 4.0027, Degree: 4
Source: -10.7816, 9.7996, Error: 4.0058, Degree: 4
Source: -10.8617, 9.7595, Error: 4.0040, Degree: 4
Source: -10.8617, 9.7996, Error: 4.0033, Degree: 4
Source: -10.7014, 9.8397, Error: 4.0078, Degree: 4
Source: -10.7014, 9.8798, Error: 4.0068, Degree: 4
Source: -10.7816, 9.8397, Error: 4.0049, Degree: 4
Source: -10.9419, 9.8397, Error: 4.0014, Degree: 4
Source: -11.0220, 9.8397, Error: 4.0008, Degree: 4
Source: -11.0220, 9.7996, Error: 4.0009, Degree: 4
